names,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014
visualization,173,192,173,221,241
data,59,85,72,110,125
analysis,11,17,11,105,153
visual,7,12,21,95,151
interaction,19,39,44,71,93
volume,46,49,64,63,44
multi,22,40,44,69,72
based,9,26,36,45,62
exploration,6,21,25,53,71
surface,23,34,42,42,26
rendering,22,30,49,35,20
field,20,33,30,25,31
time,8,26,25,32,33
flow,25,18,16,21,43
dimension,24,19,23,14,40
large,7,19,24,34,32
information,4,35,20,24,29
3d,25,26,19,18,22
model,11,16,25,13,37
design,11,22,15,8,42
system,26,13,15,15,26
high,5,10,17,25,32
space,9,14,19,15,32
study,8,16,31,8,23
technique,18,18,17,13,14
dynamic,8,18,14,17,19
graph,1,2,15,28,19
vector,8,19,17,8,11
image,6,15,16,7,18
case,8,14,29,5,4
scale,3,6,7,19,18
evaluation,2,5,10,12,23
virtual,13,14,12,5,5
extraction,3,11,12,12,10
parallel,10,6,2,16,13
approach,2,6,4,13,22
framework,0,8,7,10,21
efficient,1,12,10,10,9
fast,7,11,13,5,6
real,3,12,9,6,6
